name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2023-04-29,66.7,54.9,59.6,66.7,54.9,59.6,54.8,84.8,0.144,100,25,rain,0,0,13.9,10.8,35,1008.6,94.2,7.9,135.8,11.8,7,10,2023-04-29T06:13:01,2023-04-29T19:58:40,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-30,64.8,58.8,61.4,64.8,58.8,61.4,57,86,0.38,100,37.5,rain,0,0,34.8,19.8,353,996.1,98.6,8.1,40,3.3,2,10,2023-04-30T06:11:47,2023-04-30T19:59:38,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-01,60.7,49.9,56.6,60.7,46.7,56.5,38,50.6,0,0,0,,0,0,33.3,23.3,231.7,995.8,77.9,9.9,90,7.8,3,10,2023-05-01T06:10:34,2023-05-01T20:00:36,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-02,58.8,49.9,53.4,58.8,46.8,53.2,40.7,62.2,0,0,0,,0,0,32.2,17,271.7,998.2,92.3,9.8,72.9,6.4,4,10,2023-05-02T06:09:23,2023-05-02T20:01:34,0.4,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-03,56.5,48.3,51.8,56.5,45,51,37.1,58.2,0.011,100,4.17,rain,0,0,36.1,17.7,303.6,1001.8,93,9.9,92.3,7.9,4,10,2023-05-03T06:08:12,2023-05-03T20:02:31,0.43,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-04,62.7,46.9,54.9,62.7,43.2,53.3,40.9,60.1,0,0,0,,0,0,20.8,13.4,310.5,1012.6,74.6,9.9,114.4,9.9,5,10,2023-05-04T06:07:03,2023-05-04T20:03:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-05,69.6,46.6,59,69.6,44.6,58.7,43.9,60.4,0,0,0,,0,0,18.3,12.1,333.2,1021.9,46.6,9.9,163,14.2,8,10,2023-05-05T06:05:55,2023-05-05T20:04:26,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-06,74.4,50.4,62.1,74.4,50.4,62.1,46.1,58.8,0,0,0,,0,0,18.3,8.7,35.5,1024.3,51.6,9.9,238.6,20.7,9,10,2023-05-06T06:04:49,2023-05-06T20:05:23,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-07,73.1,54.5,63.2,73.1,54.5,63.2,55.7,77.2,0.02,100,8.33,rain,0,0,20.8,9.8,188.6,1016.9,71.3,9.9,118.7,10.3,6,10,2023-05-07T06:03:44,2023-05-07T20:06:20,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-08,83,60,70.7,82.6,60,70.7,59.4,71.4,0.002,100,4.17,rain,0,0,20.8,12.5,317,1010.2,74.6,8.5,194.5,16.8,8,10,2023-05-08T06:02:40,2023-05-08T20:07:16,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-05-09,69.6,57.1,63.8,69.6,57.1,63.8,52.3,67,0.103,100,16.67,rain,0,0,18.3,10,31.3,1014,77.5,9.8,96.8,8.5,4,10,2023-05-09T06:01:37,2023-05-09T20:08:12,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
